Date,Apple,Amazon,Dell,Facebook,Google,LinkedIn,Microsoft,Netflix,Twitter,VMWare
2016-07-22,98.128421,744.8599849999999,,121.0,742.73999,189.949997,56.219602,85.889999,18.370001000000002,71.550003
2016-07-21,98.894269,744.429993,,120.610001,738.630005,189.570007,55.454370999999995,85.989998,18.389999,70.690002
2016-07-20,99.421412,745.719971,,121.91999799999999,741.1900019999999,189.550003,55.56369,87.910004,18.559998999999998,69.949997
2016-07-19,99.331901,739.950012,,120.610001,736.960022,189.860001,52.761157999999995,85.839996,18.33,68.230003
2016-07-18,99.29211600000001,736.070007,,119.370003,733.780029,189.600006,53.62576800000001,98.809998,18.65,62.57
2016-07-15,98.24776999999999,735.4400019999999,,116.860001,719.849976,189.570007,53.367380000000004,98.389999,18.08,62.07
2016-07-14,98.25771800000001,741.200012,,117.290001,720.950012,189.309998,53.407132999999995,98.019997,17.959999,61.040001000000004
2016-07-13,96.348065,742.630005,,116.779999,716.97998,189.860001,53.178554000000005,96.43,17.74,60.959998999999996
2016-07-12,96.89509699999999,748.210022,,117.93,720.6400150000001,190.300003,52.880413,95.970001,18.1,61.150002
2016-07-11,96.457473,753.780029,,117.870003,715.090027,190.270004,52.264255,94.66999799999999,17.709999,59.57
2016-07-08,96.159086,745.8099980000001,,117.239998,705.630005,190.440002,51.97605,97.059998,18.08,59.18
2016-07-07,95.423076,736.570007,,115.849998,695.3599849999999,190.199997,51.061751,95.099998,17.370001000000002,57.93
2016-07-06,95.015281,737.6099849999999,,116.699997,697.77002,190.449997,51.061751,94.599998,17.200001,57.299999
2016-07-05,94.47819,728.099976,,114.199997,694.950012,190.009995,50.853048,97.910004,17.139999,56.59
2016-07-01,95.37334200000001,725.679993,,114.190002,699.210022,189.5,50.843112,96.66999799999999,17.280001000000002,58.009997999999996
2016-06-30,95.08490400000001,715.619995,,114.279999,692.099976,189.25,50.853048,91.480003,16.91,57.220001
2016-06-29,93.891372,715.599976,,114.160004,684.1099849999999,189.58999599999999,50.226953,91.059998,16.83,56.700001
2016-06-28,93.08573100000001,707.950012,,112.699997,680.039978,189.5,49.133765000000004,87.970001,16.42,56.299999
2016-06-27,91.544087,691.3599849999999,,108.970001,668.26001,189.440002,48.130022,85.33000200000001,15.84,55.34
2016-06-24,92.89676,698.960022,,112.08000200000001,675.219971,190.110001,49.521352,88.440002,16.440001000000002,58.540001000000004
2016-06-23,95.58221,722.080017,,115.08000200000001,701.869995,190.449997,51.588466,91.660004,17.040001,62.150002
2016-06-22,95.035178,710.599976,,113.910004,697.460022,190.320007,50.674167,90.010002,16.129998999999998,60.790001000000004
2016-06-21,95.39323900000001,715.820007,,114.379997,695.9400019999999,190.78999299999998,50.872925,90.989998,16.32,60.98
2016-06-20,94.587598,714.01001,,113.370003,693.710022,190.809998,49.759863,93.800003,16.34,60.77
2016-06-17,94.816362,706.3900150000001,,113.019997,691.719971,190.800003,49.819493,94.449997,16.1,60.27
2016-06-16,97.024402,717.51001,,114.389999,710.3599849999999,191.330002,50.077881,95.440002,15.87,61.07
2016-06-15,96.616607,714.26001,,114.599998,718.919983,191.28999299999998,49.382216,94.290001,15.96,61.439999
2016-06-14,96.934883,719.299988,,114.940002,718.27002,191.630005,49.521352,94.120003,15.36,61.52
2016-06-13,96.815526,715.23999,,113.949997,718.3599849999999,192.21000700000002,49.829429,93.849998,14.55,62.790001000000004
2016-06-10,98.297504,717.909973,,116.620003,719.409973,131.080002,51.16113,93.75,14.02,63.209998999999996
2016-06-09,99.113085,727.650024,,118.559998,728.580017,136.520004,51.300262,97.089996,14.6,64.0
2016-06-08,98.406912,726.6400150000001,,118.389999,728.280029,133.850006,51.717662,97.860001,14.95,64.18
2016-06-07,98.496423,723.73999,,117.760002,716.650024,133.699997,51.777288,99.889999,15.0,63.98
2016-06-06,98.098577,726.72998,,118.790001,716.549988,135.699997,51.807105,100.739998,15.27,62.549999
2016-06-03,97.392403,725.539978,,118.470001,722.340027,135.070007,51.469211,99.589996,15.2,62.080002
2016-06-02,97.193484,728.23999,,118.93,730.400024,136.5,52.154936,101.25,15.2,62.02
2016-06-01,97.92949399999999,719.4400019999999,,118.779999,734.150024,137.029999,52.522643,101.510002,15.02,61.509997999999996
2016-05-31,99.32195300000001,722.789978,,118.809998,735.719971,136.5,52.671715,102.57,15.22,60.560001
2016-05-27,99.809311,712.23999,,119.379997,732.659973,131.360001,51.995927,103.300003,15.1,59.630001
2016-05-26,99.868992,714.909973,,119.470001,724.119995,129.25,51.56859,102.809998,14.3,59.369999
2016-05-25,99.083248,708.349976,,117.889999,725.27002,129.869995,51.797165,100.199997,14.41,60.040001000000004
2016-05-24,97.372514,704.200012,,117.699997,720.090027,128.580002,51.270449,97.889999,14.03,60.150002
2016-05-23,95.910433,696.75,,115.970001,704.23999,125.150002,49.72011,94.889999,14.41,59.459998999999996
2016-05-20,94.70695400000001,702.799988,,117.349998,709.73999,125.559998,50.306456,92.489998,14.43,59.759997999999996
2016-05-19,93.69244499999999,698.52002,,116.809998,700.320007,125.239998,50.008315,89.550003,14.15,58.799999
2016-05-18,94.050506,697.450012,,117.650002,706.630005,128.389999,50.495281,90.5,14.14,59.529999
2016-05-17,92.986272,695.27002,,117.349998,706.22998,128.919998,50.197137,88.629997,14.34,59.59
2016-05-16,93.37416999999999,710.659973,,118.66999799999999,716.48999,128.970001,51.151191,89.120003,14.29,59.290001000000004
2016-05-13,90.032273,709.919983,,119.809998,710.830017,127.040001,50.411014,87.879997,14.1,57.919998
2016-05-12,89.85324200000001,717.929993,,120.279999,713.3099980000001,126.900002,50.835378999999996,87.739998,14.08,56.619999
2016-05-11,92.011556,713.22998,,119.519997,715.289978,128.770004,50.381403999999996,90.019997,14.59,56.220001
2016-05-10,92.91664899999999,703.070007,,120.5,723.179993,128.929993,50.351797999999995,92.889999,14.63,56.450001
2016-05-09,92.29004599999999,679.75,,119.239998,712.900024,121.599998,49.414239,90.540001,14.2,55.380001
2016-05-06,92.220424,673.950012,,119.489998,711.119995,121.82,49.730048,90.839996,14.4,55.349998
2016-05-05,92.737619,659.090027,,117.809998,701.429993,123.110001,49.285940999999994,89.370003,14.12,55.400002
2016-05-04,93.115575,670.900024,,118.059998,695.700012,124.540001,49.216858,90.790001,14.84,55.360001000000004
2016-05-03,94.09428,671.320007,,117.43,692.3599849999999,124.910004,49.128037,91.540001,14.01,56.049999
2016-05-02,92.571846,683.849976,,118.57,698.210022,128.850006,49.947168,93.110001,14.4,57.330002
2016-04-29,92.670704,659.590027,,117.58000200000001,693.01001,125.309998,49.216858,90.029999,14.62,56.91
2016-04-28,93.748274,602.0,,116.730003,691.02002,123.010002,49.246468,90.279999,14.64,57.540001000000004
2016-04-27,96.704165,606.570007,,108.889999,705.840027,118.849998,50.272844,91.040001,14.86,58.490002000000004
2016-04-26,103.159676,616.880005,,108.760002,708.1400150000001,122.529999,50.766296000000004,92.43,17.75,57.689999
2016-04-25,103.881352,626.200012,,110.099998,723.150024,120.480003,51.427523,93.559998,17.09,57.380001
2016-04-22,104.47450699999999,620.5,,110.559998,718.77002,119.449997,51.101843,95.900002,17.23,58.299999
2016-04-21,104.7612,631.0,,113.440002,759.1400150000001,120.459999,55.049455,94.980003,17.51,58.110001000000004
2016-04-20,105.907963,632.98999,,112.41999799999999,752.669983,117.32,54.861945,96.769997,17.4,58.529999
2016-04-19,105.69047900000001,627.900024,,112.290001,753.929993,115.41999799999999,55.651467000000004,94.339996,16.92,51.459998999999996
2016-04-18,106.253977,635.349976,,110.449997,766.6099849999999,118.0,55.72055,108.400002,17.309998999999998,51.689999
2016-04-15,108.596938,625.8900150000001,,109.639999,759.0,116.610001,54.921161,111.510002,17.58,51.73
2016-04-14,110.821272,620.75,,110.839996,753.200012,117.699997,54.634958,110.41999799999999,17.530001000000002,51.919998
2016-04-13,110.761959,614.820007,,110.510002,751.719971,113.230003,54.625087,109.650002,17.370001000000002,51.889998999999996
2016-04-12,109.18021100000001,603.169983,,110.610001,743.090027,109.690002,53.93425799999999,106.980003,16.57,50.380001
2016-04-11,107.776404,595.929993,,108.989998,736.099976,109.300003,53.59871,102.68,16.51,51.189999
2016-04-08,107.42051699999999,594.599976,,110.629997,739.150024,108.440002,53.707267,103.809998,16.65,52.0
2016-04-07,107.301883,591.429993,,113.639999,740.280029,112.43,53.74674399999999,104.449997,16.98,50.84
2016-04-06,109.694276,602.080017,,113.709999,745.6900019999999,114.75,54.3981,104.83000200000001,17.26,51.0
2016-04-05,108.55739299999999,586.1400150000001,,112.220001,737.799988,113.68,53.845436,104.940002,17.049999,50.700001
2016-04-04,109.852455,593.1900019999999,,112.550003,745.289978,115.309998,54.704041000000004,104.349998,17.09,51.700001
2016-04-01,108.73534,598.5,,116.059998,749.909973,115.629997,54.842206999999995,105.699997,15.98,52.029999
2016-03-31,107.746747,593.6400150000001,,114.099998,744.950012,114.349998,54.506659,102.230003,16.549999,52.310001
2016-03-30,108.310245,598.6900019999999,,114.699997,750.530029,113.83000200000001,54.32901700000001,102.190002,16.360001,52.09
2016-03-29,106.45169299999999,593.8599849999999,,116.139999,744.77002,110.029999,53.993469,104.129997,15.97,51.369999
2016-03-28,103.990098,579.869995,,113.690002,733.530029,109.120003,52.838795,101.209999,15.6,51.09
2016-03-24,104.464619,582.950012,,113.050003,735.299988,111.029999,53.500018000000004,98.360001,15.91,51.080002
2016-03-23,104.91937,569.630005,,112.540001,738.0599980000001,112.449997,53.263163,99.589996,16.01,51.849998
2016-03-22,105.50264399999999,560.47998,,112.25,740.75,113.410004,53.361852,99.839996,16.860001,52.849998
2016-03-21,104.701886,553.97998,,111.849998,742.090027,114.540001,53.154603,101.059998,16.889999,52.369999
2016-03-18,104.71176700000001,552.080017,,111.449997,737.599976,113.099998,52.78945,101.120003,16.85,51.52
2016-03-17,104.593141,559.4400019999999,,111.019997,737.780029,109.699997,53.944125,99.720001,16.85,51.529999
2016-03-16,104.7612,574.27002,,112.18,736.090027,109.809998,53.638183999999995,99.349998,16.700001,49.849998
2016-03-15,103.387056,577.02002,,110.66999799999999,728.330017,115.58000200000001,52.888139,97.860001,16.190001000000002,49.18
2016-03-14,101.350549,573.369995,,109.889999,730.48999,117.279999,52.473638,98.129997,17.120001000000002,49.68
2016-03-11,101.09352,569.6099849999999,,109.410004,726.820007,115.510002,52.374949,97.660004,16.809998999999998,49.619999
2016-03-10,100.01595,558.929993,,107.32,712.820007,114.980003,51.368307,97.360001,16.610001,49.279999
2016-03-09,99.966525,559.469971,,107.510002,705.23999,117.940002,52.147962,98.0,17.66,49.200001
2016-03-08,99.877548,560.26001,,105.93,693.969971,114.089996,50.973548,96.230003,18.33,48.939999
2016-03-07,100.70796999999999,562.799988,,105.730003,695.159973,114.879997,50.361666,95.489998,19.17,50.34
2016-03-04,101.834965,575.1400150000001,,108.389999,710.8900150000001,119.349998,51.348569,101.58000200000001,19.360001,49.450001
2016-03-03,100.34218800000001,577.48999,,109.58000200000001,712.419983,117.029999,51.664377,97.93,19.309998999999998,49.43
2016-03-02,99.60074300000001,580.210022,,109.949997,718.849976,119.599998,52.256522,97.610001,18.540001,49.130001
2016-03-01,99.383251,579.039978,,109.82,718.8099980000001,116.339996,51.891368,98.300003,17.85,50.75
2016-02-29,95.587058,552.52002,,106.91999799999999,697.77002,117.190002,50.213632000000004,93.410004,18.120001000000002,50.490002000000004
2016-02-26,95.80455,555.22998,,107.91999799999999,705.070007,120.910004,50.62813,94.790001,17.940001000000002,50.759997999999996
2016-02-25,95.65625899999999,555.150024,,108.07,705.75,119.0,51.417652000000004,94.529999,17.59,50.5
2016-02-24,95.003784,554.039978,,106.879997,699.5599980000001,117.699997,50.687345,91.610001,18.0,49.189999
2016-02-23,93.609872,552.9400019999999,,105.459999,695.849976,116.010002,50.509703,89.120003,18.299999,48.650002
2016-02-22,95.774885,559.5,,107.160004,706.460022,116.449997,51.960451,91.93,18.299999,49.950001
2016-02-19,94.944471,534.900024,,104.57,700.909973,114.120003,51.14132,89.230003,18.309998999999998,49.220001
2016-02-18,95.161963,525.0,,103.470001,697.349976,113.459999,51.506473,90.489998,18.43,48.16
2016-02-17,97.00074599999999,534.099976,,105.199997,708.400024,111.010002,51.73346,94.760002,17.459999,47.91
2016-02-16,95.537625,521.099976,,101.610001,691.0,106.0,50.420881,89.050003,16.360001,46.130001
2016-02-12,92.917852,507.079987,,102.010002,682.400024,101.110001,49.483325,87.400002,15.88,45.009997999999996
2016-02-11,92.631159,503.82000700000003,,101.910004,683.1099849999999,103.470001,48.68963,86.349998,14.31,44.700001
2016-02-10,93.19465699999999,490.48001100000005,,101.0,684.119995,101.760002,48.709228,88.449997,14.98,44.48
2016-02-09,93.90644499999999,482.07000700000003,,99.540001,678.1099849999999,100.980003,48.287884999999996,86.129997,14.4,43.84
2016-02-08,93.926221,488.10000599999995,,99.75,682.73999,109.970001,48.415269,83.32,14.9,44.66
2016-02-05,92.947509,502.130005,,104.07,683.570007,108.379997,49.150169,82.790001,15.72,44.540001000000004
2016-02-04,95.498081,536.26001,,110.489998,708.01001,192.279999,50.953126,89.709999,16.91,45.279999
2016-02-03,94.736862,531.070007,,112.690002,726.950012,191.25,51.109905,90.739998,16.559998999999998,44.959998999999996
2016-02-02,92.898175,552.099976,,114.610001,764.650024,203.429993,51.932994,91.489998,16.08,44.209998999999996
2016-02-01,94.815524,574.8099980000001,,115.089996,752.0,205.759995,53.608567,94.089996,17.91,45.490002000000004
2016-01-29,95.710285,587.0,,112.209999,742.950012,197.91000400000001,53.980918,91.839996,16.799999,45.75
2016-01-28,92.514698,635.349976,,109.110001,730.960022,191.139999,51.01192,94.410004,16.49,45.0
2016-01-27,91.855917,583.349976,,94.449997,699.98999,188.029999,50.188831,91.150002,16.780001000000002,44.439999
2016-01-26,98.315919,601.25,,97.339996,713.039978,196.139999,51.119702000000004,97.83000200000001,17.01,49.279999
2016-01-25,97.775131,596.530029,,97.010002,711.669983,193.53999299999998,50.747355,99.120003,17.02,48.759997999999996
2016-01-22,99.721977,596.380005,,97.940002,725.25,199.46000700000002,51.237289000000004,100.720001,17.84,49.5
2016-01-21,94.687703,575.02002,,94.160004,706.590027,189.759995,49.463727,102.349998,17.83,49.580002
2016-01-20,95.16949699999999,571.77002,,94.349998,698.450012,189.309998,49.767487,107.739998,17.379998999999998,49.189999
2016-01-19,95.041677,574.47998,,95.260002,701.789978,193.429993,49.542118,107.889999,16.690001000000002,48.990002000000004
2016-01-15,95.503801,570.179993,,94.970001,694.450012,196.320007,49.963462,104.040001,17.940001000000002,52.110001000000004
2016-01-14,97.853786,593.0,,98.370003,714.719971,203.21000700000002,52.04078,107.059998,19.0,52.330002
2016-01-13,95.75945,581.8099980000001,,95.440002,700.5599980000001,203.130005,50.600373,106.559998,18.68,52.27
2016-01-12,98.286422,617.8900150000001,,99.370003,726.070007,210.42999300000002,51.717422,116.58000200000001,19.620001000000002,52.84
2016-01-11,96.880363,617.73999,,97.510002,716.030029,210.92999300000002,51.247085999999996,114.970001,19.65,53.110001000000004
2016-01-08,95.336649,607.049988,,97.33000200000001,714.469971,215.899994,51.276485,111.389999,19.98,54.099998
2016-01-07,94.835186,607.9400019999999,,97.91999799999999,726.3900150000001,217.0,51.119702000000004,114.559998,20.26,54.52
2016-01-06,99.01403,632.650024,,102.970001,743.619995,226.080002,52.96185500000001,117.68,21.389999,55.25
2016-01-05,100.99038,633.789978,,102.730003,742.580017,229.0,53.941722999999996,107.660004,21.92,57.02
2016-01-04,103.58618,636.98999,,102.220001,741.840027,225.55000299999998,53.69675600000001,109.959999,22.559998999999998,56.299999
2015-12-31,103.49769,675.8900150000001,,104.660004,758.880005,225.080002,54.363066,114.379997,23.139999,56.57
2015-12-30,105.523198,689.070007,,106.220001,771.0,227.52999900000003,55.17635799999999,116.709999,22.23,57.029999
2015-12-29,106.919422,693.969971,,107.260002,776.599976,231.36999500000002,55.411524,119.120003,22.469998999999998,56.939999
2015-12-28,105.03156899999999,675.200012,,105.93,762.51001,229.289993,54.82360500000001,117.110001,22.530001000000002,56.970001
2015-12-24,106.22131,662.789978,,105.019997,748.400024,229.02999900000003,54.549240000000005,117.33000200000001,22.969998999999998,57.360001000000004
2015-12-23,106.791601,663.700012,,104.629997,750.3099980000001,228.97000099999997,54.696220999999994,118.160004,22.67,57.5
2015-12-22,105.434708,663.150024,,105.510002,750.0,228.350006,54.235682,116.239998,22.559998999999998,56.68
2015-12-21,105.533033,664.51001,,104.769997,747.77002,227.330002,53.726154,116.629997,22.139999,56.119999
2015-12-18,104.254795,664.1400150000001,,104.040001,739.3099980000001,225.80000299999998,53.040245999999996,118.019997,22.99,56.860001000000004
2015-12-17,107.155409,670.650024,,106.220001,749.429993,231.149994,54.578638,122.510002,23.309998999999998,57.080002
2015-12-16,109.47588999999999,675.77002,,106.790001,758.090027,234.50999500000003,54.999981999999996,122.639999,24.299999,57.950001
2015-12-15,108.640123,658.6400150000001,,104.550003,743.400024,229.229996,54.08870400000001,118.599998,23.950001,58.0
2015-12-14,110.59681100000002,657.909973,,104.660004,747.77002,231.99000499999997,54.029911,120.66999799999999,24.92,57.25
2015-12-11,111.28508799999999,640.150024,,102.120003,738.869995,230.61000099999998,52.971655000000005,118.910004,24.84,59.049999
